Ticker,Name
BTC-USD,Bitcoin USD
ETH-USD,Ethereum USD
USDT-USD,"Tether USD,"
BNB-USD,Binance Coin USD
USDC-USD,USD Coin USD
HEX-USD,HEX USD
XRP-USD,XRP USD
SOL-USD,Solana USD
ADA-USD,Cardano USD
BUSD-USD,Binance USD USD
UST-USD,TerraUSD USD
DOGE-USD,Dogecoin USD
AVAX-USD,Avalanche USD
DOT-USD,Polkadot USD
LUNA1-USD,Terra USD
SHIB-USD,SHIBA INU USD
WBTC-USD,Wrapped Bitcoin USD
STETH-USD,Lido stETH USD
WTRX-USD,Wrapped TRON USD
TRX-USD,TRON USD
DAI-USD,Dai USD
MATIC-USD,Polygon USD
NEAR-USD,NEAR Protocol USD
CRO-USD,Crypto.com Coin USD
LTC-USD,Litecoin USD
LEO-USD,UNUS SED LEO USD
FTT-USD,FTX Token USD
BCH-USD,Bitcoin Cash USD
UNI1-USD,Uniswap USD
ALGO-USD,Algorand USD
YOUC-USD,yOUcash USD
LINK-USD,Chainlink USD
ATOM-USD,Cosmos USD
XLM-USD,Stellar USD
BTCB-USD,Bitcoin BEP2 USD
XMR-USD,Monero USD
ETC-USD,Ethereum Classic USD
FRAX-USD,Frax USD
VET-USD,VeChain USD
APE3-USD,ApeCoin USD
ICP-USD,Internet Computer USD
EGLD-USD,Elrond USD
HBAR-USD,Hedera USD
FIL-USD,Filecoin USD
SAND-USD,The Sandbox USD
TONCOIN-USD,Toncoin USD
MANA-USD,Decentraland USD
XTZ-USD,Tezos USD
DFI-USD,DeFiChain USD
THETA-USD,THETA USD
CAKE-USD,PancakeSwap USD
WBNB-USD,Wrapped BNB USD
EOS-USD,EOS USD
RUNE-USD,THORChain USD
AXS-USD,Axie Infinity USD
AAVE-USD,Aave USD
BTT-USD,BitTorrent USD
FTM-USD,Fantom USD
HNT-USD,Helium USD
KCS-USD,KuCoin Token USD
KLAY-USD,Klaytn USD
ZEC-USD,Zcash USD
WAVES-USD,Waves USD
BTT2-USD,BitTorrent (new) USD
FLOW-USD,Flow USD
TUSD-USD,TrueUSD USD
HT-USD,Huobi Token USD
XCN1-USD,Chain USD
CVX-USD,Convex Finance USD
HBTC-USD,Huobi BTC USD
BSV-USD,Bitcoin SV USD
MKR-USD,Maker USD
GRT1-USD,The Graph USD
MIOTA-USD,IOTA USD
GMT3-USD,Green Metaverse Token USD
XEC-USD,eCash USD
NEO-USD,Neo USD
NEXO-USD,Nexo USD
USDP-USD,Pax Dollar USD
CRV-USD,Curve DAO Token USD
ZIL-USD,Zilliqa USD
CELO-USD,Celo USD
USDN-USD,Neutrino USD USD
STX-USD,Stacks USD
QNT-USD,Quant USD
CHZ-USD,Chiliz USD
OKB-USD,OKB USD
KSM-USD,Kusama USD
OSMO-USD,Osmosis USD
DASH-USD,Dash USD
GALA-USD,Gala USD
ONE1-USD,Harmony USD
LRC-USD,Loopring USD
MINA-USD,Mina USD
ENJ-USD,Enjin Coin USD
BAT-USD,Basic Attention Token USD
XDC-USD,XDC Network USD
LUSD-USD,Liquity USD USD
SAFE1-USD,Safe USD
GNO-USD,Gnosis USD